
"candlesticks","3"
"darts","3"
"stories","3"
"nombril","3"
"lis","3"
"flags","3"
"laths","3"
"turrets","3"
"reaping","3"-hooks
"mounted","3"
"bundle","3"
"feather","3"
"semy","3"-de-lis
"civic","3"
"affixed","3"
"horseshoe","3"
"sea","3"-pyes
"gamb","3"
"ensigns","3"
"hooped","3"
"tuns","3"
"pennants","3"
"beset","3"
"fusily","3"
"arctic","3"
"fasces","3"
"hat","3"
"oppressed","3"
"polar","3"
"dice","3"
"leathers","3"
"mallards","3"
"clasped","3"
"wild","3"
"weaver","3"'s
"tombstone","3"
"pegasus","3"
"topped","3"
"impaling","3"
"drakes","3"
"snakes","3"
"mountain","3"-cats
"behind","3"
"piercing","3"
"gemmed","3"
"level","3"
"cotices","3"
"supporters","3"
"transverse","3"
"gouttys","3"
"colts","3"
"avellane","3"
"crest","3"
"pommel","3"
"marigolds","3"
"coney","3"
"fleams","3"
"divided","3"
"speed","3"
"ox","3"
"pitchers","3"
"apple","3"
"spurs","3"
"rolls","3"
"gannapies","3"
"sphere","3"
"edges","3"
"","3"-foils
"plumes","3"
"scabbard","3"
"gambs","3"
"ram","3"'s
"demi","3"-hulks
"cherub","3"'s
"presented","3"
"gridirons","3"
"geds","3"
"leg","3"
"transfixed","3"
"hunting","3"-horn
"environed","3"
"luce","3"
"pipes","3"
"linen","3"
"shovellers","3"
"variegated","3"
"forming","3"
"combed","3"
"buckle","3"
"naval","3"
"thatcher","3"'s
"forks","3"
"herring","3"
"lampreys","3"
"wool","3"-packs
"cannets","3"
"conger","3"'s
"saltier","3"
"wreaths","3"
"containing","3"
"nut","3"
"flag","3"-staff
"jowllopped","3"
"blood","3"
"fringed","3"
"ford","3"
"ball","3"
"andc","3"
"gates","3"
"hart","3"'s
"fer","3"-de-moline
"bishop","3"'s
"shake","3"-fork
"eel","3"
"starlings","3"
"cotton","3"
"mill","3"-wheel
"pileways","3"
"but","3"
"white","3"
"nest","3"
"elephant","3"
"clarions","3"
